date,n_components,weighted_mean,weighted_median,pearson_skew,bowley_skew,boc_trim,boc_median,boc_spread
2008-05-01,59,2.056468974447481,1.9444994608393202,3.4306400077751635,-0.3968426212903969,2.3,2.4,-0.10000000000000009
2008-06-01,59,2.661765015879487,2.396007205861186,3.129891102698998,-0.5023923650191402,2.3,2.5,-0.20000000000000018
2008-07-01,59,3.034884267738657,1.6993102685569608,2.860414058850437,-0.18246166493297566,2.5,2.6,-0.10000000000000009
2008-08-01,59,3.3400309124940035,2.3212613644167774,3.05454207316635,-0.393269158287099,2.5,2.7,-0.20000000000000018
2008-09-01,59,3.087671940859723,1.9605950674529626,2.211510181844186,0.0448283041988847,2.5,2.5,0.0
2008-10-01,59,2.8162677952839763,1.967237886867947,1.1134168028759965,0.24164350447850677,2.5,2.6,-0.10000000000000009
2008-11-01,59,2.7912781902439483,2.2718517794149315,0.9843100900391292,0.12854208133892364,2.7,2.7,0.0
2008-12-01,59,2.652020193915608,2.5320930232558085,0.5606769463282802,0.1299875186409871,2.7,2.7,0.0
2009-01-01,59,2.599333638554917,2.8372544567360993,-0.4802675018017981,-0.3202805898553289,2.5,2.5,0.0
2009-02-01,59,2.598607958126915,2.8410232148861074,-0.10087721783722585,-0.3569045640131122,2.4,2.5,-0.10000000000000009
2009-03-01,59,2.5903498755922483,3.270216370533377,-1.3904924024570329,-0.3277674615245163,2.4,2.5,-0.10000000000000009
2009-04-01,59,1.8501170412226586,2.990971442823287,-1.6185675932961643,-0.38280228375425485,2.0,2.2,-0.20000000000000018
2009-05-01,59,1.691769749120099,3.2088207374031894,-2.7593286452531958,-0.5123952278596493,2.0,2.2,-0.20000000000000018
2009-06-01,59,1.150033123325383,3.186396957818158,-2.889814549320398,-0.5972910949788748,1.9,2.1,-0.20000000000000018
2009-07-01,59,0.5296301199782052,2.21880432792042,-3.069014914276152,-0.2249981888126269,1.6,1.9,-0.2999999999999998
2009-08-01,59,0.3158937674705601,2.3502266387598945,-3.3983266317150416,-0.33890259782929827,1.5,1.7,-0.19999999999999996
2009-09-01,59,0.5074458305486342,2.382073352319147,-3.0636895013839083,-0.448993588650169,1.3,1.7,-0.3999999999999999
2009-10-01,59,0.8135871773328242,1.2865608138102735,-3.2476564075120344,0.11783709273154448,1.3,1.7,-0.3999999999999999
2009-11-01,59,0.5819858570197471,1.1221195255662468,-2.5872380127846935,0.2596633695353836,1.3,1.8,-0.5
