date,cad_2y,overnight,spread_pp,abs_spread_bp
2020-03-01,1.17,1.75,-0.5800000000000001,58.00000000000001
2020-04-01,0.4,0.25,0.15000000000000002,15.000000000000002
2020-05-01,0.3,0.25,0.04999999999999999,4.999999999999999
2020-06-01,0.29,0.25,0.03999999999999998,3.9999999999999982
2020-07-01,0.29,0.25,0.03999999999999998,3.9999999999999982
2020-08-01,0.25,0.25,0.0,0.0
2020-09-01,0.27,0.25,0.020000000000000018,2.0000000000000018
2020-10-01,0.24,0.25,-0.010000000000000009,1.0000000000000009
2020-11-01,0.26,0.25,0.010000000000000009,1.0000000000000009
2020-12-01,0.26,0.25,0.010000000000000009,1.0000000000000009
2021-01-01,0.2,0.25,-0.04999999999999999,4.999999999999999
2021-02-01,0.15,0.25,-0.1,10.0
2021-03-01,0.25,0.25,0.0,0.0
2021-04-01,0.22,0.25,-0.03,3.0
2021-05-01,0.3,0.25,0.04999999999999999,4.999999999999999
2021-06-01,0.32,0.25,0.07,7.000000000000001
2021-07-01,0.45,0.25,0.2,20.0
2021-08-01,0.42,0.25,0.16999999999999998,17.0
2021-09-01,0.41,0.25,0.15999999999999998,15.999999999999998
2021-10-01,0.51,0.25,0.26,26.0
2021-11-01,1.07,0.25,0.8200000000000001,82.0
2021-12-01,0.95,0.25,0.7,70.0
2022-01-01,1.01,0.25,0.76,76.0
2022-02-01,1.28,0.25,1.03,103.0
2022-03-01,1.33,0.25,1.08,108.0
2022-04-01,2.34,0.5,1.8399999999999999,184.0
2022-05-01,2.66,1.0,1.6600000000000001,166.0
2022-06-01,2.79,1.0,1.79,179.0
2022-07-01,3.06,1.5,1.56,156.0
2022-08-01,3.1,2.5,0.6000000000000001,60.00000000000001
2022-09-01,3.66,2.5,1.1600000000000001,116.00000000000001
2022-10-01,3.76,3.25,0.5099999999999998,50.99999999999998
2022-11-01,3.91,3.75,0.16000000000000014,16.000000000000014
2022-12-01,3.79,3.75,0.040000000000000036,4.0000000000000036
2023-01-01,4.02,4.25,-0.23000000000000043,23.000000000000043
2023-02-01,3.66,4.5,-0.8399999999999999,83.99999999999999
2023-03-01,4.27,4.5,-0.23000000000000043,23.000000000000043
2023-04-01,3.65,4.5,-0.8500000000000001,85.00000000000001
2023-05-01,3.78,4.5,-0.7200000000000002,72.00000000000001
